Clark St & Wrightwood Ave,casual,-87.64314,41.92957,3058
Wacker Dr & Washington St,member,-87.6373,41.88316,3051
DuSable Lake Shore Dr & Belmont Ave,casual,-87.6392,41.94078,3026
Wells St & Evergreen Ave,casual,-87.63497,41.90671,3026
Michigan Ave & 14th St,member,-87.62372,41.86412,3001
Halsted St & Maxwell St,member,-87.64707,41.8649,2982
Broadway & Wilson Ave,member,-87.65824,41.96518,2962
Larrabee St & Division St,member,-87.64335,41.90351,2951
Stetson Ave & South Water St,member,-87.62231,41.88679,2940
Paulina St & Flournoy St,member,-87.66907,41.87305,2934
Franklin St & Adams St (Temp),member,-87.6355,41.87929,2931
Woodlawn Ave & 55th St,member,-87.59649,41.79531,2915
Desplaines St & Kinzie St,casual,-87.64441,41.88867,2907
Broadway & Cornelia Ave,casual,-87.64645,41.94553,2906
Field Blvd & South Water St,member,-87.61751,41.8863,2904
Damen Ave & Chicago Ave,member,-87.67717,41.8957,2899
Damen Ave & Cortland St,member,-87.67732,41.91599,2890
Dearborn Pkwy & Delaware Pl,casual,-87.62991,41.89896,2883
Ellis Ave & 60th St,casual,-87.60108,41.7851,2878
Lakefront Trail & Bryn Mawr Ave,member,-87.65229,41.98402,2831
Wabash Ave & Wacker Pl,member,-87.62607,41.88686,2831
Morgan St & Lake St*,member,-87.65233,41.8855,2831
Wolcott Ave & Polk St,member,-87.6737,41.87133,2814
Lincoln Ave & Fullerton Ave,casual,-87.64638,41.92417,2811
Stockton Dr & Wrightwood Ave,casual,-87.63873,41.93132,2797
Clark St & Drummond Pl,casual,-87.64429,41.93125,2788
Clark St & North Ave,member,-87.63197,41.91197,2781
Sheffield Ave & Fullerton Ave,casual,-87.65371,41.9256,2780
Desplaines St & Randolph St,member,-87.64437,41.88402,2778
Southport Ave & Roscoe St,casual,-87.66399,41.94369,2777
Ritchie Ct & Banks St,member,-87.6262,41.90685,2770
Halsted St & Wrightwood Ave,casual,-87.6491,41.92911,2766
Clark St & Berwyn Ave,member,-87.66831,41.97803,2756
Sheffield Ave & Willow St,member,-87.65287,41.91372,2752
Dearborn St & Adams St,member,-87.62976,41.87925,2731
Clark St & Grace St,member,-87.65918,41.95082,2725
Lake Park Ave & 56th St,member,-87.5878,41.79325,2719
Sheridan Rd & Buena Ave,member,-87.65498,41.95847,2716
Clinton St & Madison St,casual,-87.64118,41.88244,2713
Sheffield Ave & Waveland Ave,casual,-87.65448,41.94932,2710
Clark St & Ida B Wells Dr,member,-87.63068,41.87593,2657
Orleans St & Chestnut St (NEXT Apts),member,-87.63754,41.89817,2655
Larrabee St & Oak St,member,-87.64299,41.90024,2637
Michigan Ave & 8th St,member,-87.62398,41.87272,2630
Sheffield Ave & Wrightwood Ave,casual,-87.65383,41.92868,2624
Greenview Ave & Fullerton Ave,member,-87.66581,41.92537,2617
Broadway & Argyle St,member,-87.65972,41.97375,2615
Lakefront Trail & Bryn Mawr Ave,casual,-87.6523,41.98401,2604
Broadway & Belmont Ave,casual,-87.64547,41.9401,2601
Western Ave & Winnebago Ave,member,-87.68703,41.91559,2601
Bissell St & Armitage Ave*,member,-87.65219,41.91835,2600
